match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000006,matchup_0001,6,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,48,1,variable_2_4,2,47,3,variable_2_4|variable_encoder_2_4,2|1,47|51,3|3,loss
match_000006,matchup_0001,6,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,51,3,variable_2_4,2,47,3,variable_2_4|variable_2_4,2|1,47|48,3|1,win
match_000007,matchup_0001,7,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,43,3,variable_2_4,2,56,5,variable_2_4|variable_encoder_2_4,2|1,56|47,5|0,loss
match_000007,matchup_0001,7,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,56,5,variable_2_4,1,43,3,variable_2_4|variable_encoder_2_4,1|1,43|47,3|0,win
match_000007,matchup_0001,7,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,47,0,variable_2_4,1,43,3,variable_2_4|variable_2_4,1|2,43|56,3|5,loss
match_000008,matchup_0001,8,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,41,5,variable_2_4,1,33,3,variable_2_4|variable_encoder_2_4,1|1,33|45,3|0,loss
match_000008,matchup_0001,8,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,33,3,variable_2_4,2,41,5,variable_2_4|variable_encoder_2_4,2|1,41|45,5|0,loss
match_000008,matchup_0001,8,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,45,0,variable_2_4,2,41,5,variable_2_4|variable_2_4,2|1,41|33,5|3,win
match_000009,matchup_0001,9,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,53,0,variable_2_4,1,44,2,variable_2_4|variable_2_4,1|2,44|40,2|4,win
match_000009,matchup_0001,9,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,44,2,variable_encoder_2_4,1,53,0,variable_encoder_2_4|variable_2_4,1|2,53|40,0|4,loss
match_000009,matchup_0001,9,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,40,4,variable_encoder_2_4,1,53,0,variable_encoder_2_4|variable_2_4,1|1,53|44,0|2,loss
match_000010,matchup_0001,10,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,43,1,variable_2_4,1,32,3,variable_2_4|variable_2_4,1|2,32|43,3|4,loss
match_000010,matchup_0001,10,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,32,3,variable_encoder_2_4,1,43,1,variable_encoder_2_4|variable_2_4,1|2,43|43,1|4,loss
match_000010,matchup_0001,10,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,43,4,variable_encoder_2_4,1,43,1,variable_encoder_2_4|variable_2_4,1|1,43|32,1|3,win
match_000011,matchup_0001,11,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,45,2,variable_2_4,2,39,5,variable_2_4|variable_encoder_2_4,2|1,39|41,5|1,win
match_000011,matchup_0001,11,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,39,5,variable_2_4,1,45,2,variable_2_4|variable_encoder_2_4,1|1,45|41,2|1,loss
match_000011,matchup_0001,11,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,41,1,variable_2_4,1,45,2,variable_2_4|variable_2_4,1|2,45|39,2|5,loss
match_000012,matchup_0001,12,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,45,2,variable_2_4,2,57,5,variable_2_4|variable_2_4,2|1,57|49,5|3,loss
match_000012,matchup_0001,12,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,57,5,variable_encoder_2_4,1,45,2,variable_encoder_2_4|variable_2_4,1|1,45|49,2|3,win
match_000012,matchup_0001,12,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,49,3,variable_encoder_2_4,1,45,2,variable_encoder_2_4|variable_2_4,1|2,45|57,2|5,loss
match_000013,matchup_0001,13,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,41,2,variable_2_4,1,53,3,variable_2_4|variable_encoder_2_4,1|1,53|42,3|2,loss
match_000013,matchup_0001,13,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,53,3,variable_2_4,2,41,2,variable_2_4|variable_encoder_2_4,2|1,41|42,2|2,win
match_000013,matchup_0001,13,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,42,2,variable_2_4,2,41,2,variable_2_4|variable_2_4,2|1,41|53,2|3,loss
match_000014,matchup_0001,14,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,53,3,variable_2_4,1,47,2,variable_2_4|variable_encoder_2_4,1|1,47|50,2|1,win
match_000014,matchup_0001,14,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,47,2,variable_2_4,2,53,3,variable_2_4|variable_encoder_2_4,2|1,53|50,3|1,loss
match_000014,matchup_0001,14,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,50,1,variable_2_4,2,53,3,variable_2_4|variable_2_4,2|1,53|47,3|2,loss
match_000015,matchup_0001,15,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,55,3,variable_2_4,2,49,3,variable_2_4|variable_encoder_2_4,2|1,49|51,3|2,win
match_000015,matchup_0001,15,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,49,3,variable_2_4,1,55,3,variable_2_4|variable_encoder_2_4,1|1,55|51,3|2,loss
match_000015,matchup_0001,15,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,51,2,variable_2_4,1,55,3,variable_2_4|variable_2_4,1|2,55|49,3|3,loss
match_000016,matchup_0001,16,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,41,3,variable_2_4,1,55,3,variable_2_4|variable_encoder_2_4,1|1,55|42,3|2,loss
match_000016,matchup_0001,16,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,55,3,variable_2_4,2,41,3,variable_2_4|variable_encoder_2_4,2|1,41|42,3|2,win
match_000016,matchup_0001,16,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,42,2,variable_2_4,2,41,3,variable_2_4|variable_2_4,2|1,41|55,3|3,loss
match_000017,matchup_0001,17,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,43,5,variable_2_4,1,48,3,variable_2_4|variable_encoder_2_4,1|1,48|49,3|0,loss
match_000017,matchup_0001,17,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,48,3,variable_2_4,2,43,5,variable_2_4|variable_encoder_2_4,2|1,43|49,5|0,loss
match_000017,matchup_0001,17,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,49,0,variable_2_4,2,43,5,variable_2_4|variable_2_4,2|1,43|48,5|3,win
match_000018,matchup_0001,18,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,42,5,variable_2_4,1,47,3,variable_2_4|variable_encoder_2_4,1|1,47|44,3|0,loss
match_000018,matchup_0001,18,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,47,3,variable_2_4,2,42,5,variable_2_4|variable_encoder_2_4,2|1,42|44,5|0,win
match_000018,matchup_0001,18,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,44,0,variable_2_4,2,42,5,variable_2_4|variable_2_4,2|1,42|47,5|3,loss
match_000019,matchup_0001,19,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,42,4,variable_2_4,1,44,3,variable_2_4|variable_encoder_2_4,1|1,44|50,3|0,loss
match_000019,matchup_0001,19,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,44,3,variable_2_4,2,42,4,variable_2_4|variable_encoder_2_4,2|1,42|50,4|0,loss
match_000019,matchup_0001,19,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,50,0,variable_2_4,2,42,4,variable_2_4|variable_2_4,2|1,42|44,4|3,win
match_000020,matchup_0001,20,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,43,4,variable_2_4,2,42,4,variable_2_4|variable_2_4,2|1,42|50,4|0,loss
match_000020,matchup_0001,20,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,42,4,variable_encoder_2_4,1,43,4,variable_encoder_2_4|variable_2_4,1|1,43|50,4|0,loss
match_000020,matchup_0001,20,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,50,0,variable_encoder_2_4,1,43,4,variable_encoder_2_4|variable_2_4,1|2,43|42,4|4,win
match_000021,matchup_0001,21,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,36,2,variable_encoder_2_4,1,47,3,variable_encoder_2_4|variable_2_4,1|1,47|51,3|3,loss
match_000021,matchup_0001,21,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,47,3,variable_2_4,2,36,2,variable_2_4|variable_2_4,2|1,36|51,2|3,loss
match_000021,matchup_0001,21,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,51,3,variable_2_4,2,36,2,variable_2_4|variable_encoder_2_4,2|1,36|47,2|3,win
match_000022,matchup_0001,22,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,50,4,variable_2_4,2,45,2,variable_2_4|variable_encoder_2_4,2|1,45|44,2|2,win
match_000022,matchup_0001,22,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,45,2,variable_2_4,1,50,4,variable_2_4|variable_encoder_2_4,1|1,50|44,4|2,loss
match_000022,matchup_0001,22,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,44,2,variable_2_4,1,50,4,variable_2_4|variable_2_4,1|2,50|45,4|2,loss
match_000023,matchup_0001,23,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,42,3,variable_2_4,1,50,3,variable_2_4|variable_2_4,1|2,50|41,3|3,loss
match_000023,matchup_0001,23,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,50,3,variable_encoder_2_4,1,42,3,variable_encoder_2_4|variable_2_4,1|2,42|41,3|3,win
match_000023,matchup_0001,23,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,41,3,variable_encoder_2_4,1,42,3,variable_encoder_2_4|variable_2_4,1|1,42|50,3|3,loss
match_000024,matchup_0001,24,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,56,2,variable_2_4,2,46,1,variable_2_4|variable_2_4,2|1,46|47,1|1,win
match_000024,matchup_0001,24,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,46,1,variable_encoder_2_4,1,56,2,variable_encoder_2_4|variable_2_4,1|1,56|47,2|1,loss
match_000024,matchup_0001,24,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,47,1,variable_encoder_2_4,1,56,2,variable_encoder_2_4|variable_2_4,1|2,56|46,2|1,loss
match_000025,matchup_0001,25,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,42,3,variable_encoder_2_4,1,41,3,variable_encoder_2_4|variable_2_4,1|2,41|38,3|1,win
match_000025,matchup_0001,25,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,41,3,variable_2_4,1,42,3,variable_2_4|variable_2_4,1|2,42|38,3|1,loss
match_000025,matchup_0001,25,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,38,1,variable_2_4,1,42,3,variable_2_4|variable_encoder_2_4,1|1,42|41,3|3,loss
match_000026,matchup_0001,26,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,48,3,variable_encoder_2_4,1,50,3,variable_encoder_2_4|variable_2_4,1|2,50|53,3|1,loss
match_000026,matchup_0001,26,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,50,3,variable_2_4,1,48,3,variable_2_4|variable_2_4,1|2,48|53,3|1,loss
match_000026,matchup_0001,26,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,53,1,variable_2_4,1,48,3,variable_2_4|variable_encoder_2_4,1|1,48|50,3|3,win
match_000027,matchup_0001,27,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,51,2,variable_2_4,2,48,4,variable_2_4|variable_encoder_2_4,2|1,48|55,4|2,loss
match_000027,matchup_0001,27,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,48,4,variable_2_4,1,51,2,variable_2_4|variable_encoder_2_4,1|1,51|55,2|2,loss
match_000027,matchup_0001,27,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,55,2,variable_2_4,1,51,2,variable_2_4|variable_2_4,1|2,51|48,2|4,win
match_000028,matchup_0001,28,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,46,4,variable_encoder_2_4,1,46,0,variable_encoder_2_4|variable_2_4,1|1,46|47,0|3,loss
match_000028,matchup_0001,28,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,46,0,variable_2_4,2,46,4,variable_2_4|variable_2_4,2|1,46|47,4|3,loss
match_000028,matchup_0001,28,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,47,3,variable_2_4,2,46,4,variable_2_4|variable_encoder_2_4,2|1,46|46,4|0,win
match_000029,matchup_0001,29,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,48,5,variable_encoder_2_4,1,41,0,variable_encoder_2_4|variable_2_4,1|1,41|44,0|4,win
match_000029,matchup_0001,29,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,41,0,variable_2_4,2,48,5,variable_2_4|variable_2_4,2|1,48|44,5|4,loss
match_000029,matchup_0001,29,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,44,4,variable_2_4,2,48,5,variable_2_4|variable_encoder_2_4,2|1,48|41,5|0,loss
match_000030,matchup_0001,30,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,54,3,variable_2_4,2,48,2,variable_2_4|variable_2_4,2|1,48|34,2|2,win
match_000030,matchup_0001,30,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,48,2,variable_encoder_2_4,1,54,3,variable_encoder_2_4|variable_2_4,1|1,54|34,3|2,loss
match_000030,matchup_0001,30,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,34,2,variable_encoder_2_4,1,54,3,variable_encoder_2_4|variable_2_4,1|2,54|48,3|2,loss
match_000031,matchup_0001,31,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,55,2,variable_encoder_2_4,1,59,0,variable_encoder_2_4|variable_2_4,1|2,59|45,0|5,loss
match_000031,matchup_0001,31,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,59,0,variable_2_4,1,55,2,variable_2_4|variable_2_4,1|2,55|45,2|5,win
match_000031,matchup_0001,31,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,45,5,variable_2_4,1,55,2,variable_2_4|variable_encoder_2_4,1|1,55|59,2|0,loss
match_000032,matchup_0001,32,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,41,3,variable_encoder_2_4,1,50,0,variable_encoder_2_4|variable_2_4,1|2,50|47,0|6,loss
match_000032,matchup_0001,32,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,50,0,variable_2_4,1,41,3,variable_2_4|variable_2_4,1|2,41|47,3|6,win
match_000032,matchup_0001,32,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,47,6,variable_2_4,1,41,3,variable_2_4|variable_encoder_2_4,1|1,41|50,3|0,loss
match_000033,matchup_0001,33,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,47,5,variable_encoder_2_4,1,59,0,variable_encoder_2_4|variable_2_4,1|1,59|43,0|4,loss
match_000033,matchup_0001,33,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,59,0,variable_2_4,2,47,5,variable_2_4|variable_2_4,2|1,47|43,5|4,win
match_000033,matchup_0001,33,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,43,4,variable_2_4,2,47,5,variable_2_4|variable_encoder_2_4,2|1,47|59,5|0,loss
match_000034,matchup_0001,34,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,51,4,variable_2_4,2,41,4,variable_2_4|variable_encoder_2_4,2|1,41|53,4|0,loss
match_000034,matchup_0001,34,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,41,4,variable_2_4,1,51,4,variable_2_4|variable_encoder_2_4,1|1,51|53,4|0,loss
match_000034,matchup_0001,34,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,53,0,variable_2_4,1,51,4,variable_2_4|variable_2_4,1|2,51|41,4|4,win
match_000035,matchup_0001,35,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,34,2,variable_encoder_2_4,1,45,3,variable_encoder_2_4|variable_2_4,1|2,45|49,3|3,loss
match_000035,matchup_0001,35,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,45,3,variable_2_4,1,34,2,variable_2_4|variable_2_4,1|2,34|49,2|3,loss
match_000035,matchup_0001,35,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,49,3,variable_2_4,1,34,2,variable_2_4|variable_encoder_2_4,1|1,34|45,2|3,win
match_000036,matchup_0001,36,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,58,4,variable_2_4,1,43,2,variable_2_4|variable_encoder_2_4,1|1,43|50,2|2,win
match_000036,matchup_0001,36,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,43,2,variable_2_4,2,58,4,variable_2_4|variable_encoder_2_4,2|1,58|50,4|2,loss
match_000036,matchup_0001,36,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,50,2,variable_2_4,2,58,4,variable_2_4|variable_2_4,2|1,58|43,4|2,loss
match_000037,matchup_0001,37,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,42,1,variable_encoder_2_4,1,52,3,variable_encoder_2_4|variable_2_4,1|2,52|45,3|3,loss
match_000037,matchup_0001,37,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,52,3,variable_2_4,1,42,1,variable_2_4|variable_2_4,1|2,42|45,1|3,win
match_000037,matchup_0001,37,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,45,3,variable_2_4,1,42,1,variable_2_4|variable_encoder_2_4,1|1,42|52,1|3,loss
match_000038,matchup_0001,38,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,48,3,variable_encoder_2_4,1,45,2,variable_encoder_2_4|variable_2_4,1|2,45|53,2|3,loss
match_000038,matchup_0001,38,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,45,2,variable_2_4,1,48,3,variable_2_4|variable_2_4,1|2,48|53,3|3,loss
match_000038,matchup_0001,38,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,53,3,variable_2_4,1,48,3,variable_2_4|variable_encoder_2_4,1|1,48|45,3|2,win
match_000039,matchup_0001,39,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,0,45,3,variable_2_4,2,52,2,variable_2_4|variable_2_4,2|1,52|40,2|0,loss
match_000039,matchup_0001,39,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,1,52,2,variable_encoder_2_4,1,45,3,variable_encoder_2_4|variable_2_4,1|1,45|40,3|0,win
match_000039,matchup_0001,39,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,40,0,variable_encoder_2_4,1,45,3,variable_encoder_2_4|variable_2_4,1|2,45|52,3|2,loss
